29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,8,5,73,9,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8,5,55,3,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8,5,268,1,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8,5,63,4,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,8,5,111,1,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,8,5,72,1,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
38,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,8,5,73,1,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,8,5,160,1,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8,5,67,2,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8,5,65,13,999,0,0,1,0,1.4,93.444,-36.1,4.964,5228.1,0
